ExperimentID,Investigators,Bin_Original,Bin_Final,Treatment,PlantRep,SoilDepth,HtFirstInflor,MassFirstInflor,CountRayFlowers,CountDiskFlowers,MassVeg,FinalMassTotal,MassRemoved,,,,
Competition,BeardonMendozaSigman,C,O,1,1,1,,,,,,,,,,,
Competition,BeardonMendozaSigman,C,O,1,2,1.4,,,,,,,,,,,
Competition,BeardonMendozaSigman,E,T,1,3,1.3,,,,,,,,,,,
Competition,BeardonMendozaSigman,W,A,1,4,1.3,,,,,,,,,,,
Competition,BeardonMendozaSigman,W,A,1,5,1.3,,,,,,,,,,,
Competition,BeardonMendozaSigman,E,T,1,6,2.1,,,,,,,,,,,
Competition,BeardonMendozaSigman,E,T,1,7,2,,,,,,,,,,,
Competition,BeardonMendozaSigman,C,O,1,8,1.3,,,,,,,,,,,
Competition,BeardonMendozaSigman,E,T,1,9,1.4,,,,,,,,,,,
Competition,BeardonMendozaSigman,C,O,1,10,1,,,,,,,,,,,
Competition,BeardonMendozaSigman,W,A,1,11,1.3,,,,,,,,,,,
Competition,BeardonMendozaSigman,E,T,1,12,1.7,,,,,,,,,,,
Competition,BeardonMendozaSigman,W,A,1,13,1,,,,,,,,,,,
Competition,BeardonMendozaSigman,E,T,1,14,0.5,,,,,,,,,,,
Competition,BeardonMendozaSigman,W,A,1,15,2.2,,,,,,,,,,,
Competition,BeardonMendozaSigman,W,A,1,16,1.3,,,,,,,,,,,
Competition,BeardonMendozaSigman,C,O,1,17,1.3,,,,,,,,,,,
Competition,BeardonMendozaSigman,C,O,1,18,0.9,,,,,,,,,,,
Competition,BeardonMendozaSigman,C,O,1,19,1.5,,,,,,,,,,,
Competition,BeardonMendozaSigman,E,T,1,20,1.6,,,,,,,,,,,
Competition,BeardonMendozaSigman,E,T,1,21,0.9,,,,,,,,,,,
Competition,BeardonMendozaSigman,W,A,1,22,1.3,,,,,,,,,,,
Competition,BeardonMendozaSigman,W,A,1,23,1,,,,,,,,,,,
Competition,BeardonMendozaSigman,C,O,1,24,0.9,,,,,,,,,,,
Competition,BeardonMendozaSigman,W,A,2,25,1.4,,,,,,,,,,,
Competition,BeardonMendozaSigman,W,A,2,26,1.5,,,,,,,,,,,
Competition,BeardonMendozaSigman,E,T,2,27,1.5,,,,,,,,,,,
Competition,BeardonMendozaSigman,E,T,2,28,1,,,,,,,,,,,
Competition,BeardonMendozaSigman,W,A,2,29,1.5,,,,,,,,,,,
Competition,BeardonMendozaSigman,C,O,2,30,1.1,,,,,,,,,,,
Competition,BeardonMendozaSigman,E,T,2,31,1.1,,,,,,,,,,,
Competition,BeardonMendozaSigman,W,A,2,32,1.8,,,,,,,,,,,
Competition,BeardonMendozaSigman,C,O,2,33,1.2,,,,,,,,,,,
Competition,BeardonMendozaSigman,C,O,2,34,1.7,,,,,,,,,,,
Competition,BeardonMendozaSigman,C,O,2,35,2.5,,,,,,,,,,,
Competition,BeardonMendozaSigman,E,T,2,36,1,,,,,,,,,,,
Competition,BeardonMendozaSigman,W,A,2,37,1.6,,,,,,,,,,,
Competition,BeardonMendozaSigman,E,T,2,38,1.3,,,,,,,,,,,
Competition,BeardonMendozaSigman,C,O,2,39,1.4,,,,,,,,,,,
Competition,BeardonMendozaSigman,E,T,2,40,1.5,,,,,,,,,,,
Competition,BeardonMendozaSigman,E,T,2,41,1.3,,,,,,,,,,,
Competition,BeardonMendozaSigman,C,O,2,42,1,,,,,,,,,,,
Competition,BeardonMendozaSigman,C,O,2,43,0.5,,,,,,,,,,,
Competition,BeardonMendozaSigman,E,T,2,44,1.9,,,,,,,,,,,
Competition,BeardonMendozaSigman,W,A,2,45,1.5,,,,,,,,,,,
Competition,BeardonMendozaSigman,W,A,2,46,1.5,,,,,,,,,,,
Competition,BeardonMendozaSigman,W,A,2,47,2,,,,,,,,,,,
Competition,BeardonMendozaSigman,W,A,2,48,2,,,,,,,,,,,
Competition,BeardonMendozaSigman,C,O,3,49,1.6,,,,,,,,,,,
Competition,BeardonMendozaSigman,C,O,3,50,2.1,,,,,,,,,,,
Competition,BeardonMendozaSigman,C,O,3,51,2.6,,,,,,,,,,,
Competition,BeardonMendozaSigman,E,T,3,52,0.9,,,,,,,,,,,
Competition,BeardonMendozaSigman,E,T,3,53,1.3,,,,,,,,,,,
Competition,BeardonMendozaSigman,W,A,3,54,1.7,,,,,,,,,,,
Competition,BeardonMendozaSigman,C,O,3,55,1,,,,,,,,,,,
Competition,BeardonMendozaSigman,E,T,3,56,1,,,,,,,,,,,
Competition,BeardonMendozaSigman,W,A,3,57,1.6,,,,,,,,,,,
Competition,BeardonMendozaSigman,W,A,3,58,0.5,,,,,,,,,,,
Competition,BeardonMendozaSigman,C,O,3,59,1.5,,,,,,,,,,,
Competition,BeardonMendozaSigman,E,T,3,60,1.3,,,,,,,,,,,
Competition,BeardonMendozaSigman,E,T,3,61,2.5,,,,,,,,,,,
Competition,BeardonMendozaSigman,E,T,3,62,0.5,,,,,,,,,,,
Competition,BeardonMendozaSigman,W,A,3,63,1.8,,,,,,,,,,,
Competition,BeardonMendozaSigman,C,O,3,64,1,,,,,,,,,,,
Competition,BeardonMendozaSigman,C,O,3,65,1.6,,,,,,,,,,,
Competition,BeardonMendozaSigman,E,T,3,66,1.3,,,,,,,,,,,
