ready_for_harvest,harvest_date,tub,treatment,repetition,plant_label,height_at_harvest(cm),inf_weight(mg),veg_body_weight(g),notes
,2/17/17,a,bnt_comp,3,2-8_(blue),5.2,10.22,0.054,
,2/22/17,a,bnt_comp,3,1-5_(green),7,15.69,0.076,
,2/1/17,a,bnt_comp,3,3-21_(red),2.2,13.16,0.071,
,2/17/17,a,bnt_comp,3,2-24_(blue),4.8,9.82,0.071,
,2/1/17,a,bnt_comp,3,3-10,3.8,7.56,0.059,
,3/10/17,a,bnt_comp,3,3-23_(red),4.8,8.49,0.039,
,3/8/17,a,bnt_comp,3,11-1_(green),7.1,10.66,0.055,no competitor at harvest
,4/5/17,a,bnt_comp,3,3-3_(red),7,7.61,0.034,
,2/10/17,a,bnt_comp,3,3-6_(red),7,9.54,0.023,
,2/20/17,a,bnt_comp,3,2-22_(blue),7,14.82,0.073,
,2/10/17,a,bnt_comp,3,1-16_(green),4.4,12.06,0.093,
,3/31/17,a,bnt_comp,3,2-21_(blue),4.6,4.08,0.004,
,3/31/17,a,bnt_comp,3,1-15_(green),4.4,11.93,0.07,
,4/7/17,a,bnt_comp,3,3-9_(red?orange?),5.9,10,0.012,"faded out lablel, either red, or orange on the harvested plant"
,2/20/17,a,bnt_comp,3,1-23_(green),4.1,692.39,0.161,
,3/15/17,a,bnt_comp,3,1-22_(green),6.5,9.48,0.045,
2/13/17,2/15/17,a,bnt_comp,3,3-15_(red),5.3,11.75,0.027,
2/13/17,2/15/17,a,bnt_comp,3,1-4_(green),3.6,12.97,0.099,
,1/3/17,a,bnt_comp,3,2-1_(blue),5.2,8.25,0.035,
,3/6/17,a,bnt_comp,3,3-22_(red),6.3,10.08,0.033,
,3/6/17,a,bnt_comp,3,2-5_(blue),5.3,10.69,0.055,
,2/17/17,b,abiotic_drought,3,b12_(pink),6.1,13.59,0.06,
2/13/17,2/15/17,b,abiotic_drought,3,a18_(green),4.5,13.47,0.084,
,3/17/17,b,abiotic_drought,3,b3_pink,3.8,5.34,0.106,
,3/27/17,b,abiotic_drought,3,b21_(pink),5.8,16.39,0.103,
,2/10/17,b,abiotic_drought,3,a23_(green),4.1,14.36,0.074,
,1/23/17,b,abiotic_drought,3,a5_(green),12.4,24.02,0.139,
,4/10/17,b,abiotic_drought,3,a21_(green),2.4,1.68,0.027,
,4/10/17,b,abiotic_drought,3,a4_(green),5.3,10.04,0.054,
,3/13/17,b,abiotic_drought,3,a20_(green),7.6,18.85,0.106,
,4/7/17,c,persistence_shade,3,shade_17,8.6,7.71,0.115,
,2/17/17,c,persistence_shade,3,control_4,4.8,8.52,0.116,
,2/6/17,c,persistence_shade,3,control_12,5.7,16.59,0.084,
,3/27/17,c,persistence_shade,3,control_5,5.7,15.15,0.07,
,1/3/17,c,persistence_shade,3,control_20,1.6,7.45,0.062,
,4/7/17,c,persistence_shade,3,shade_6,8.1,7.72,0.05,
2/13/17,2/15/17,c,persistence_shade,3,control_13,5.9,11.29,0.07,
,2/15/17,c,persistence_shade,3,control_21,5.7,13.43,0.087,
,3/31/17,d,temp_var_2,2,t-13_(yellow),4.1,14.08,0.071,
,2/20/17,d,temp_var_2,2,c-6,5.9,13.74,0.093,
,3/6/17,d,temp_var_2,2,c-8,4.1,16.66,0.165,
,4/5/17,d,temp_var_2,2,t-23,3.7,5.78,0.088,
,3/27/17,d,temp_var_2,2,t-19,5.6,8.1,0.212,
,2/3/17,d,temp_var_2,2,c-12,6.8,22,0.281,
,2/6/17,d,temp_var_2,2,t-16,4.4,13.42,0.117,
,2/8/17,d,temp_var_2,2,t-18,4.2,13.4,0.092,
,2/20/17,d,temp_var_2,2,t-12,6.8,21.47,0.115,
,2/17/17,d,temp_var_2,2,c-5,5.8,20.06,0.247,
,2/8/17,d,temp_var_2,2,c-7,6.4,13.37,0.063,
,3/6/17,d,temp_var_2,2,c-9,2.1,18.53,0.123,
,1/19/17,d,temp_var_2,2,t-22_(yellow_w/red_tip),3.6,10.61,0.07,
,12/21/16,d,temp_var_2,2,c-1_red,5.2,14.24,0.056,
,1/13/17,d,temp_var_2,2,t-24_(yellow),6.2,16.22,0.064,
,11/11/17,d,temp_var_2,2,c-3_(yellow_tag_red_tip),5.4,21.88,0.078,
,3/20/17,d,temp_var_2,2,t-21,3.7,12.71,0.058,
,2/6/17,d,temp_var_2,2,c-16,6.8,20.13,0.054,
,2/1/17,d,temp_var_2,2,c-4,6.8,24.08,0.088,
,2/1/17,d,temp_var_2,2,c-2,4.7,15.57,0.093,
,3/6/17,d,temp_var_2,2,t-15,8.5,14.75,0.156,
